appid,hw_ram_gb,hw_storage_gb,hw_has_gpu_req,parse_success
1590910,8.0,9.0,1,True
1069650,2.0,11.0,1,True
301860,4.0,3.0,1,True
705120,4.0,0.488,0,True
38740,0.5,0.244,1,True
1280780,4.0,4.0,0,True
528230,4.0,0.586,1,True
1286350,8.0,14.0,1,True
254200,4.0,4.883,1,True
231200,0.5,2.5,0,True
679900,4.0,1.0,1,True
2217000,4.0,20.0,1,True
733460,2.0,0.586,0,True
562860,1.0,0.098,1,True
375820,1.0,0.195,1,True
373770,1.0,0.027,0,True
858210,4.0,0.781,1,True
234650,2.0,2.0,1,True
574720,2.0,2.0,1,True
572430,4.0,6.0,1,True
1477810,2.0,2.0,0,True
436320,8.0,10.0,1,True
218680,2.0,2.0,1,True
438270,2.0,2.0,1,True
331500,4.0,2.0,1,True
261180,1.0,1.0,1,True
893850,4.0,5.0,1,True
1974520,8.0,1.0,0,True
551770,4.0,10.0,1,True
521150,2.0,0.293,1,True
1051200,8.0,25.0,1,True
439190,4.0,2.0,1,True
1384630,16.0,15.0,1,True
1570010,4.0,4.0,1,True
582550,1.0,2.0,1,True
469610,4.0,1.0,1,True
314410,1.0,0.146,0,True
1501610,4.0,0.83,1,True
473950,2.0,3.0,1,True
261470,1.0,1.0,0,True
224760,2.0,0.488,1,True
1546010,0.5,2.441,1,True
371200,2.0,0.391,0,True
253430,1.0,0.098,0,True
361300,2.0,7.0,1,True
1563180,4.0,7.0,1,True
1808680,8.0,1.0,1,True
1043260,6.0,2.0,0,True
572890,2.0,0.293,1,True
1796220,4.0,15.0,1,True
434460,4.0,6.0,1,True
252330,8.0,20.0,1,True
246420,1.0,1.465,0,True
799640,4.0,4.0,0,True
393520,1.0,0.488,0,True
404540,4.0,1.0,1,True
361550,2.0,3.0,1,True
1108370,4.0,2.0,0,True
1746030,8.0,8.0,0,True
474750,2.0,1.0,0,False
990630,4.0,3.0,1,True
930210,2.0,2.0,1,True
1104330,4.0,0.488,1,True
208750,1.0,1.0,1,True
342310,4.0,3.0,1,True
396900,4.0,8.0,1,True
581630,2.0,1.0,0,True
1108590,4.0,2.0,1,True
323320,2.0,1.0,1,True
600480,8.0,1.0,1,True
314790,4.0,20.0,1,True
821880,2.0,1.0,1,True
359230,2.0,2.0,1,True
343860,4.0,11.0,0,True
996770,4.0,1.0,1,True
370360,2.0,0.098,0,True
1547890,2.0,0.721,1,True
1051310,4.0,3.0,1,True
593280,4.0,0.244,0,True
1080020,8.0,4.0,1,True
1394800,0.391,0.195,1,True
1293180,4.0,4.0,1,True
363930,3.0,2.0,1,True
1043390,4.0,4.0,1,True
1901370,2.0,0.391,0,True
322190,1.0,0.312,1,True
1349230,0.5,0.049,0,True
553310,4.0,4.0,1,True
2873080,4.0,2.0,0,True
366320,4.0,4.0,1,True
1604000,4.0,0.684,0,True
1801110,2.0,1.0,0,True
1557740,8.0,4.0,1,True
661790,4.0,5.0,1,True
1148150,2.0,3.0,1,True
578620,8.0,2.0,1,True
384110,2.0,2.0,1,True
322110,1.0,1.0,1,True
257030,2.0,20.0,1,True
269790,4.0,5.0,1,True
739650,8.0,7.0,1,True
1983260,8.0,8.0,1,True
745880,1.0,0.586,0,True
313740,1.0,0.195,0,True
555150,8.0,4.0,1,True
1202200,8.0,5.0,1,True
253840,2.0,2.0,1,True
718590,2.0,0.488,1,True
1037020,2.0,0.488,1,True
1161170,2.0,2.0,1,True
1462570,8.0,20.0,1,True
1682970,4.0,30.0,1,True
340150,1.0,0.146,0,True
470260,8.0,10.0,1,True
1654660,8.0,15.0,1,True
299950,8.0,40.0,1,True
394760,6.0,11.0,1,True
458710,2.0,1.465,0,False
269650,1.5,8.0,1,True
249630,1.0,0.195,0,True
1260820,4.0,4.0,0,True
283160,4.0,2.0,1,True
1055540,2.0,0.391,1,True
635320,4.0,3.0,1,True
35700,1.0,4.0,1,True
537340,2.0,6.0,1,True
